index,text,response,llama70b
25365,And thou shalt take the other ram; and Aaron and his,,...sons shall lay their hands upon the head of the ram. (Leviticus 8:22)
25366,"And one loaf of bread, and one cake of oiled bread, and one wafer",,"...or cake of oiled bread, is mentioned in the biblical story of Melchizedek in the book of Genesis (Genesis 14:18"
25367,"And thou shalt put all in the hands of Aaron, and in the hands",,"of his sons; and shalt put the holy things upon the altar, and it shall be an offering made by fire unto the Lord, before the Lord"
25368,"And thou shalt take the breast of the ram of Aaron's consecration, and wave",,...it for a wave offering before the Lord; and it shall be thy part. (Exodus 29:26 and Leviticus 8
25369,And the holy garments of Aaron shall be his sons' after,,"...him, to be anointed in them, and that he may consecrate them. (Leviticus 16:32, Exodus"
25370,"And that son that is priest in his stead shall put them on seven days,",,"""...when he cometh into the tabernacle of the congregation to minister in the holy place."" (Leviticus 16:32)"
25371,"And thou shalt take the ram of the consecration,",,"and thou shalt take the ram of the consecration, and thou shalt boil his flesh in the holy place."
25372,"And Aaron and his sons shall eat the flesh of the ram, and the bread",,"...that is in the basket, by the door of the tabernacle of the congregation. (Leviticus 8:31)"
25373,"And they shall eat those things wherewith the atonement was made, to consecrate and",,"to sanctify them: but a stranger shall not eat thereof, because they are holy. (Exodus 29:33)"
25374,"And thus shalt thou do unto Aaron, and to his sons, according to",,all that I have commanded thee: seven days shalt thou consecrate them.
25375,"Seven days thou shalt make an atonement for the altar, and sanctify it; and",,...it shall be an altar most holy: whatsoever toucheth the altar shall be holy. (Exodus 29:37)
25376,Now this is that which thou shalt offer upon the altar;,,two lambs of the first year day by day continually. (Exodus 29:38)
25377,The one lamb thou shalt offer in the morning;,,"and the other lamb thou shalt offer at even. (Exodus 29:39, Numbers 28:4)"
25378,"And there I will meet with the children of Israel,",,"...and it shall come to pass, when thy days be expired that thou must go to be with thy fathers, that I will raise up thy seed"
25379,"And I will sanctify the tabernacle of the congregation, and the altar: I will sanctify",,"also Aaron and his sons, that he may minister unto me in the priest's office."
25380,And I will dwell among the children,,"...of Israel and will not forsake my people Israel."""
25381,And thou shalt make an altar to burn incense,,"""upon, of shittim wood."" (Exodus 30:1)"
25382,And thou shalt make the staves of,,"...shittim wood, and overlay them with gold. (Exodus 25:13, Bible)"
25383,And Aaron shall burn thereon sweet incense every morning: when,,"he dresseth the lamps, he shall burn incense upon it. (Leviticus 2:7 in the KJV Bible, but"
25384,"And when Aaron lighteth the lamps at even, he shall burn incense",,"""...upon it, a perpetual incense before the Lord throughout your generations."" (Exodus 30:8, KJV)"
25385,"Ye shall offer no strange incense thereon, nor burnt sacrifice,",,"nor meat offering; neither shall ye pour drink offering thereon. (Leviticus 6:23, Exodus 30:9)"
25386,"Every one that passeth among them that are numbered, from twenty",,"""Every one that passeth among them that are numbered, from twenty years old and above, shall give an offering unto the Lord."""
25387,For Aaron and his sons shall wash,,For Aaron and his sons shall wash their hands and their feet thereat. (Exodus 30:19)
25388,Moreover the LORD spake,,"""Moreover the LORD spake unto me, saying, 'Jerusalem shall surely be laid waste.'"""
25389,"And of cassia five hundred shekels, after the shekel",,"of the sanctuary, and of olive oil a hin."
25390,"And thou shalt make it an oil of holy ointment, an ointment compound",,...after the art of the apothecary: it shall be an holy anointing oil. (Exodus 30:25 KJV
25391,And thou shalt anoint the tabernacle of the,,"congregation therewith, and the ark of the testimony, and the table and all his vessels, and the candlestick and his vessels, and the"
25392,"And the table and all his vessels, and the",,"shewbread. (This appears to be a biblical reference, specifically 1 Kings 7:48 and 2 Chronicles 4:19)"
25393,And the altar of burnt offering with all,,"...its utensils, and the laver and its base. (Exodus 31:9, Exodus 35:16)"
25394,"And thou shalt sanctify them, that they may be",,an holy people unto the Lord thy God.
25395,"And thou shalt anoint Aaron and his sons, and consecrate them,",,that they may minister unto me in the priest's office. (Exodus 30:30)
25396,"And thou shalt speak unto the children of Israel, saying, This",,shall be an holy anointing oil unto me throughout your generations.
25397,"Whosoever compoundeth any like it, or whosoever putteth any of it",,"...upon any stranger, he shall atone for it therewith: an holy offering it shall be to thee."
25398,"And the LORD said unto Moses, Take unto thee sweet spices, stacte, and onycha, and",,"galbanum; these sweet spices with pure frankincense: of each shall there be a like weight: (Exodus 30:34,"
25399,"And thou shalt make it a perfume, a confection after",,"""the art of the apothecary, temper it together, that there may be made of it a perfume, a confection after the art"
25400,"And as for the perfume which thou shalt make, ye shall not make to yourselves",,"...according to the composition thereof: it shall be unto thee holy for the Lord. (Exodus 30:37-38, and Exodus"
25401,"Whosoever shall make like unto that, to smell thereto,",,"""...to smell thereto, shall even be cut off from his people."" (Exodus 30:38 in the King James Version)"
25402,"See, I have called by name Bezaleel the son of",,"Uri, the son of Hur, of the tribe of Judah. (Exodus 35:30)"
25403,"And I have filled him with the spirit of God, in wisdom,",,"...in understanding, in knowledge, and in all manner of workmanship. (Exodus 35:31)"
25404,"To devise cunning works, to work in",,"gold, in silver, in brass, in iron, in stone, in timber; to devise and fashion all sorts of cunning works."
25405,"And in cutting of stones, to set them, and in",,"carving of timber, to work in all manner of workmanship."
25406,"The tabernacle of the congregation, and the ark of the testimony, and the",,"mercy seat that is thereupon, and all the furniture of the tabernacle. (Exodus 31:7, also Exodus 31"
25407,"And the table and his furniture, and the pure candlestick",,"...with all the vessels thereof, and the shewbread, and the golden altar, and the anointing oil, and the sweet incense"
25408,"And the cloths of service, and the holy garments for Aaron the priest,",,"and the garments for his sons, to minister in the priest's office. (Exodus 35:19)"
25409,"And the anointing oil, and sweet incense for the holy place:",,They made the holy anointing oil and the pure fragrant incense—the work of a perfumer.
25410,"Wherefore the children of Israel shall keep the sabbath, to",,"observe the sabbath throughout their generations, for a perpetual covenant. (Exodus 31:16-17, and also in Leviticus"
25411,"And Aaron said unto them, Break off the golden earrings, which are in the ears",,"of your wives, of your sons, and of your daughters, and bring them unto me."
25412,And all the people brake off the golden earrings which,,"...were in their ears, and brought them unto Aaron. (Exodus 32:3)"
25413,"And when Aaron saw it, he built an altar before it; and Aaron",,"...called the name of it Adonai-nissi (or ""Lord is my banner"" in some translations, or ""The Lord is our"
25414,"And the LORD said unto Moses, Go, get thee down; for thy people,",,"...which thou broughtest out of the land of Egypt, have corrupted themselves. (Exodus 32:7)"
25415,"And the LORD said unto Moses, I have seen",,"And the LORD said unto Moses, I have seen this people, and behold, it is a stiffnecked people. (Exodus 32:"
25416,"Now therefore let me alone, that my wrath may wax hot against them, and",,"I consume them, and I make of thee a great nation. (Exodus 32:10)"
25417,And the LORD repented of the evil which,,"...He thought to do unto His people. (Exodus 32:14, KJV)"
25418,"And the tables were the work of God, and the",,"workmanship of them was of the cunning workman, therefore the works of God are true, and there is no injustice in them."
25419,"And when Joshua heard the noise of the people as they shouted, he",,"said, ""The cry of victory in Israel resounds; I hear the sound of their battle cries."""
25420,"And Moses said unto Aaron, What did this people unto thee,",,"""...that thou hast brought so great a sin upon them?"" (Exodus 32:21)"
25421,"And Aaron said, Let not the anger of my lord wax",,"""...hot: thou knowest the people, that they are set on mischief."" - Exodus 32:22"
25422,And when Moses saw that the people were naked; (for Aaron,,had made them naked unto their shame among their enemies) - Exodus 32:25.
25423,And the children of Levi did according to the word of Moses:,,and there fell of the people that day about three thousand men.
25424,"For Moses had said, Consecrate yourselves today to the LORD, even every man upon his",,"son and brother, that he may bestow upon you a blessing this day."
25425,"And Moses returned unto the LORD, and said, Oh, this people have",,"sinned a great sin, and have made them gods of gold. (Exodus 32:31)"
25426,"Yet now, if thou wilt forgive their sin--; and if not, blot",,"...me, I pray thee, out of thy book which thou hast written. (This is a quote from the Bible, specifically Exodus 32:"
